scope,metric_family,provider,model,round_index,panel_id,item_id,prompt_language,metric,ci_low,ci_high
aggregate,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,,en_vs_zh,jsd,0.011279657006736943,0.21558188053460106
aggregate,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,,en_vs_zh,tvd,0.020000000000000004,0.27066666666666667
aggregate,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,,en_vs_zh,top1_match,0.8,1.0
aggregate,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,,en_vs_zh,flip_rate,0.0,0.2
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,en,jsd,0.7175985799480668,0.7175985799480668
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,en,tvd,0.87,0.87
aggregate,human_alignment,anthropic,claude-opus-4-6,2,study2_british_within,,en,top1_match,0.0,0.0
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,en,jsd,0.244553109487619,0.4739226170147268
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,en,tvd,0.3639666666666666,0.6413500000000001
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,en,top1_match,0.6,1.0
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,zh,jsd,0.20556109016920238,0.42151196329531576
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,zh,tvd,0.33331666666666665,0.5834499999999999
aggregate,human_alignment,deepseek,deepseek-chat,1,study2_british_within,,zh,top1_match,0.6,1.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_01,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_02,en_vs_zh,jsd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_02,en_vs_zh,tvd,0.0,0.0
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,en_vs_zh,jsd,0.7213096794945422,0.9406557062070924
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,en_vs_zh,tvd,0.82,0.98
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_03,en_vs_zh,spearman,-1.0,-0.5
item,cross_lingual,deepseek,deepseek-chat,1,study2_british_within,study2_item_04,en_vs_zh,jsd,0.09643129419996314,0.26537374235093775
